,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
0,RESDUcs7fIiihp38-d6_6g,Bacchanal Buffet,3570 S Las Vegas Blvd,Las Vegas,NV,89109,36.1159291,-115.1762385,4,10129,1,"{'BikeParking': 'False', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'RestaurantsPriceRange2': '3', 'Caters': 'False', 'WiFi': ""u'no'"", 'DogsAllowed': 'False', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsTakeOut': 'False', 'HappyHour': 'False', 'HasTV': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': None}""}","Sandwiches, Breakfast & Brunch, Food, Restaurants, Buffets","{'Monday': '7:30-22:0', 'Tuesday': '7:30-22:0', 'Wednesday': '7:30-22:0', 'Thursday': '7:30-22:0', 'Friday': '7:30-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}"
1,f4x1YBxkLrZg652xt2KR5g,Hash House A Go Go,3535 Las Vegas Blvd,Las Vegas,NV,89109,36.11818069,-115.1715798,4,6751,1,"{'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'HasTV': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'Caters': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'DogsAllowed': 'False'}","Breakfast & Brunch, Restaurants, Food, American (New)","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
2,DkYS3arLOhA8si5uUEmHOw,Earl of Sandwich,3667 Las Vegas Blvd S,Las Vegas,NV,89109,36.1094075,-115.1718738,4.5,5232,1,"{'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'False', 'DogsAllowed': 'False', 'BYOBCorkage': ""'yes_free'"", 'NoiseLevel': ""'average'"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'beer_and_wine'"", 'ByAppointmentOnly': 'False', 'CoatCheck': 'False', 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'BikeParking': 'True', 'HappyHour': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}""}","Restaurants, Food Delivery Services, Salad, Wraps, Caterers, Food, Sandwiches, American (New), Event Planning & Services, Soup","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
3,faPVqws-x-5k2CQKDNtHxw,Yardbird Southern Table & Bar,3355 Las Vegas Blvd S,Las Vegas,NV,89109,36.12232802,-115.1701118,4.5,4828,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""'average'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'WheelchairAccessible': 'True', 'HasTV': 'True', 'ByAppointmentOnly': 'False', 'Alcohol': ""u'full_bar'"", 'HappyHour': 'True', 'GoodForKids': 'True', 'DogsAllowed': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}"", 'CoatCheck': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': None}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}""}","Restaurants, American (New), Southern, Nightlife, Bars, Cocktail Bars","{'Monday': '0:0-0:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '10:0-23:0'}"
4,5LNZ67Yw9RD6nf4_UhXOjw,The Cosmopolitan of Las Vegas,3708 Las Vegas Blvd S,Las Vegas,NV,89109,36.1097553,-115.1738769,4,4740,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'GoodForKids': 'False', 'HasTV': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'NoiseLevel': ""u'very_loud'"", 'Alcohol': ""u'full_bar'"", 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '3', 'RestaurantsDelivery': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': True, 'upscale': True, 'casual': False}"", 'DogsAllowed': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsAttire': ""u'casual'""}","Arts & Entertainment, Casinos, Hotels & Travel, Hotels, Event Planning & Services, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
5,vHz2RLtfUMVRPFmd7VBEHA,Gordon Ramsay Hell's Kitchen,3570 S Las Vegas Blvd,Las Vegas,NV,89109,36.11578596,-115.17323,4.5,4672,1,"{'RestaurantsTakeOut': 'False', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""'average'"", 'HappyHour': 'False', 'DogsAllowed': 'False', 'DriveThru': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '3', 'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': True, 'classy': True, 'casual': True}"", 'RestaurantsReservations': 'True', 'Alcohol': ""'full_bar'"", 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': False}"", 'Caters': 'False', 'ByAppointmentOnly': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'BikeParking': 'False'}","Restaurants, American (New), Breakfast & Brunch, Burgers","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-0:0'}"
6,SMPbvZLSMMb7KU76YNYMGg,ARIA Resort & Casino,3730 Las Vegas Blvd S,Las Vegas,NV,89109,36.107621,-115.17704,3.5,4580,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '3', 'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'DogsAllowed': 'False', 'RestaurantsAttire': ""u'casual'""}","Arts & Entertainment, Hotels & Travel, Casinos, Hotels, Event Planning & Services, Resorts","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
7,QXV3L_QFGj8r6nWX2kS2hA,Nacho Daddy,"3663 Las Vegas Blvd, Ste 595",Las Vegas,NV,89109,36.10808576,-115.1711109,4.5,4276,1,"{'RestaurantsReservations': 'True', 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}"", 'HappyHour': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'HasTV': 'True', 'OutdoorSeating': 'True', 'DriveThru': 'False', 'BikeParking': 'False', 'NoiseLevel': ""'average'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'Caters': 'True', 'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}""}","Vegan, Restaurants, Mexican, American (New), American (Traditional), Tex-Mex, New Mexican Cuisine, Breakfast & Brunch","{'Monday': '10:30-2:0', 'Tuesday': '8:0-2:0', 'Wednesday': '8:0-2:0', 'Thursday': '8:0-3:0', 'Friday': '8:0-3:0', 'Saturday': '0:0-0:0', 'Sunday': '8:0-21:0'}"
8,rcaPajgKOJC2vo_l3xa42A,Bouchon,"3355 Las Vegas Blvd S, Venezia Tower, 10th floor",Las Vegas,NV,89109,36.12095546,-115.1698532,4,4138,1,"{'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'False', 'Caters': 'False', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'full_bar'"", 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '3', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}"", 'BYOBCorkage': ""'yes_corkage'"", 'RestaurantsGoodForGroups': 'True', 'Corkage': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'WiFi': ""u'no'"", 'HappyHour': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'CoatCheck': 'False', 'BikeParking': 'False', 'HasTV': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForDancing': 'False', 'ByAppointmentOnly': 'False', 'DogsAllowed': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}""}","French, Cafes, Restaurants, Cocktail Bars, Nightlife, Venues & Event Spaces, Event Planning & Services, Bars, Breakfast & Brunch","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}"
9,3kdSl5mo9dWC4clrQjEDGg,Egg & I,"4533 W Sahara Ave, Ste 5",Las Vegas,NV,89102,36.1440852,-115.2024865,4.5,4048,1,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Corkage': 'False', 'BikeParking': 'True', 'GoodForKids': 'True', 'BYOBCorkage': ""'yes_free'"", 'OutdoorSeating': 'True', 'Caters': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'free'"", 'ByAppointmentOnly': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Alcohol': ""u'full_bar'"", 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'DriveThru': 'False', 'HappyHour': 'False', 'RestaurantsTableService': 'True', 'DogsAllowed': 'True'}","American (Traditional), Breakfast & Brunch, Pizza, Sandwiches, Restaurants, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '6:0-15:0', 'Wednesday': '6:0-15:0', 'Thursday': '6:0-15:0', 'Friday': '6:0-15:0', 'Saturday': '6:0-15:0', 'Sunday': '6:0-15:0'}"
