,MovieId,MovieName,Genre
0,3,nan,sor-trondelag
1,3,nan,oslo
2,4,nan,sor-trondelag
3,3,nan,sor-trondelag
4,3,nan,akershus
5,1,nan,sor-trondelag
6,4,nan,akershus
7,4,nan,sor-trondelag
8,3,nan,hedmark
9,3,nan,florida
10,3,nan,more og romsdal
11,3,nan,oslo
12,4,nan,sor-trondelag
13,1,nan,sor-trondelag
14,3,nan,akershus
15,1,nan,sor-trondelag
16,3,nan,oslo
17,1,nan,sor-trondelag
18,3,nan,nord-trondelag
19,4,nan,connecticut
20,4,nan,oslo
21,3,nan,sor-trondelag
22,3,nan,sor-trondelag
23,3,nan,rogaland
24,3,nan,sor-trondelag
25,4,nan,oslo
26,3,nan,oslo
27,4,nan,sor-trondelag
28,3,nan,akershus
29,4,nan,sor-trondelag
30,3,nan,oslo
31,4,nan,sor-trondelag
32,4,nan,oslo
33,3,nan,sor-trondelag
34,4,nan,sor-trondelag
35,4,nan,oslo
36,4,nan,sor-trondelag
37,3,nan,oslo
38,3,nan,oslo
39,4,nan,nord-trondelag
40,4,nan,oslo
41,3,nan,sor-trondelag
42,4,nan,sor-trondelag
43,4,nan,oslo
44,4,nan,nord-trondelag
45,4,nan,sor-trondelag
46,3,nan,sor-trondelag
47,4,nan,sor-trondelag
48,3,nan,vestfold
49,3,nan,oslo
50,4,nan,oslo
51,3,nan,oslo
52,4,nan,akershus
53,3,nan,sor-trondelag
54,4,nan,sor-trondelag
55,4,nan,oslo
56,4,nan,sor-trondelag
57,3,nan,sor-trondelag
58,3,nan,vest-agder
59,4,nan,more og romsdal
60,4,nan,sor-trondelag
61,4,nan,cambridgeshire
62,4,nan,sor-trondelag
63,4,nan,sor-trondelag
64,4,nan,sor-trondelag
65,3,nan,nord-trondelag
66,4,nan,sor-trondelag
67,3,nan,sor-trondelag
68,3,nan,oslo
69,3,nan,sor-trondelag
70,3,nan,sor-trondelag
71,3,nan,nord-trondelag
72,3,nan,sor-trondelag
73,3,nan,sor-trondelag
74,3,nan,sor-trondelag
75,3,nan,sor-trondelag
76,4,nan,sor-trondelag
77,4,nan,sor-trondelag
78,3,nan,virginia
79,3,nan,buskerud
80,4,nan,hedmark
81,4,nan,massachusetts
82,4,nan,sor-trondelag
83,3,nan,sor-trondelag
84,4,nan,sor-trondelag
85,3,nan,akershus
86,3,nan,akershus
87,4,nan,nord-trondelag
88,3,nan,buskerud
89,1,nan,new hampshire
90,3,nan,oslo
91,3,nan,more og romsdal
92,3,nan,more og romsdal
93,3,nan,rogaland
94,3,nan,nord-trondelag
95,4,nan,sor-trondelag
96,4,nan,sor-trondelag
97,3,nan,ostfold
98,3,nan,more og romsdal
99,4,nan,sor-trondelag
100,4,nan,akershus
101,3,nan,sor-trondelag
102,3,nan,sor-trondelag
103,1,nan,new hampshire
104,3,nan,sor-trondelag
105,3,nan,auckland
106,3,nan,ostfold
107,3,nan,nord-trondelag
108,4,nan,sor-trondelag
109,3,nan,sor-trondelag
110,3,nan,akershus
111,4,nan,nord-trondelag
112,3,nan,oslo
113,3,nan,nord-trondelag
114,3,nan,oslo
115,3,nan,nord-trondelag
116,3,nan,sor-trondelag
117,4,nan,sor-trondelag
118,3,nan,sor-trondelag
