,movieId,title,genres
0,11,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
2,15,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
3,13,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
4,7,Braveheart (1995),Action|Drama|War
5,17,Apollo 13 (1995),Adventure|Drama|IMAX
6,5,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
7,2,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
8,1,"Shawshank Redemption, The (1994)",Crime|Drama
9,0,Forrest Gump (1994),Comedy|Drama|Romance|War
10,32,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
11,34,Speed (1994),Action|Romance|Thriller
12,30,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
13,22,"Fugitive, The (1993)",Thriller
14,6,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
15,9,Schindler's List (1993),Drama|War
16,27,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
17,8,Terminator 2: Judgment Day (1991),Action|Sci-Fi
18,38,Dances with Wolves (1990),Adventure|Drama|Western
19,23,Batman (1989),Action|Crime|Thriller
20,3,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
21,28,Fargo (1996),Comedy|Crime|Drama|Thriller
22,39,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
23,16,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
24,21,"Godfather, The (1972)",Crime|Drama
25,12,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
26,18,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
27,20,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
28,33,Back to the Future (1985),Adventure|Comedy|Sci-Fi
29,37,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
30,25,Saving Private Ryan (1998),Action|Drama|War
31,4,"Matrix, The (1999)",Action|Sci-Fi|Thriller
32,29,"Sixth Sense, The (1999)",Drama|Horror|Mystery
33,14,American Beauty (1999),Drama|Romance
34,10,Fight Club (1999),Action|Crime|Drama|Thriller
35,36,Gladiator (2000),Action|Adventure|Drama
36,35,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
37,19,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
38,24,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
39,26,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
